Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
1,PANI,PANI@PAM,2.92,0.03,1.9E-3,1,298,,,,0.01,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
,,PANI@PAM-650,1.88,0.02,1E-3,1,298,,,,0.56999999999999995,,,
,,PANI@PAM-CA-1-650,1272.81,0.55000000000000004,0.46,1,273,81.16,13.27,5.57,6.04,,,
,,PANI@PAM-CA-1-650,1272.81,0.55000000000000004,0.46,1,298,81.16,13.27,5.57,4.12,,,
,,PANI@PAM-CB-2-550,59.42,7.0000000000000007E-2,0.02,1,273,78.13,14.61,7.27,6.02,,,
,,PANI@PAM-CB-2-550,59.42,7.0000000000000007E-2,0.02,1,298,78.13,14.61,7.27,2.19,,,
,,PANI@PAM-CB-2-650,1255.57,0.56999999999999995,0.45,1,298,82.38,13.09,4.53,3.98,,,
,,PANI@PAM-CB-2-750,1206.27,0.62,0.46,1,298,76.44,21.15,2.41,2.29,,,
,,PANI@PAM-CB-2-850,271.64999999999998,0.28999999999999998,0.11,1,298,62.97,36.42,0.61,0.89,,,
2,Poplar wood chips,KK-0-700,10,0.02,3.0000000000000001E-3,1,303,,,,1.86,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance
,,KK-1-700,1116,0.73,0.35599999999999998,1,303,,,,3.49,,,
,,KK-2-700,1434,0.9,0.45600000000000002,1,303,,,,3.76,,,
,,KK-3-700,1499,0.94,0.49,1,303,92.72,7.28,,4.03,,,
,,KK-3-700,1499,0.94,0.49,1,298,92.72,7.28,,4.38,,,
,,KK-3-700,1499,0.94,0.49,1,273,92.72,7.28,,6.26,,,
,,KK-4-700,1331,0.84,0.432,1,303,,,,3.81,,,
3,Phenolic resin,PC,486.2,0.27,0.21,1,273,,,,3.56,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
,,PC-F0.5,539.4,0.76,0.18,1,273,,,,3.43,,,
,,PC-F0.5,539.4,0.76,0.18,1,298,,,,2.48,,,
,,PCF0.5-S0.5,523.6,0.31,0.16,1,273,,,,3.17,,,
,,PCF0.5-S0.75,583.70000000000005,0.32,0.19,1,273,,,,3.59,,,
,,PCF0.5-S1.25,674.9,0.47,0.21,1,273,,,,3..43,,,
,,PCF0.5-S1.75,641.6,0.47,0.19,1,273,,,,3.99,,,
,,PCF0.5-S1.75,641.6,0.47,0.19,1,298,,,,3.11,,,
,,PCF0.5-S2.5,593.6,0.77,0.11,1,273,,,,2.67,,,
,,APC (3 h),947.9,0.37,0.31,1,273,,,,4.16,,,
,,APC (3 h),947.9,0.37,0.31,1,298,,,,3.24,,,
,,APC-F0.5 (3 h),522.4,0.28999999999999998,0.24,1,273,,,,4.13,,,
,,APC-F0.5 (3 h),522.4,0.28999999999999998,0.24,1,298,,,,3.12,,,
,,APCF0.5-S1.75 (3 h),983.9,0.66,0.4,1,273,,,,4.93,,,
,,APCF0.5-S1.75 (3 h),983.9,0.66,0.4,1,298,,,,3.29,,,
4,Orange peel,AC-1-500,281,0.13500000000000001,0.106,,,,,,,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study
,,AC-2-500,330,0.187,0.115,,,,,,,,,
,,AC-3-500,319,0.13700000000000001,0.112,,,,,,,,,
,,AC-4-500,292,0.126,0.10100000000000001,,,,,,,,,
,,AC-2-500,330,0.187,0.115,,,,,,,,,
,,AC-2-600,337,0.214,5.0999999999999997E-2,,,,,,,,,
,,AC-2-700,374,0.16200000000000001,0.127,1,298,,,,1.72,,,
,,AC-2-800,349,0.17599999999999999,5.5E-2,,,,,,,,,
,,PAC-2-5-700,398,0.20699999999999999,0.127,1,298,,,,1.97,,,
,,PAC-2-15-700,487,0.215,0.16,1,298,,,,2.49,,,
,,PAC-2-15-700,487,0.215,0.16,1,273,,,,4.18,,,
,,PAC-2-25-700,413,0.17299999999999999,0.14099999999999999,1,298,,,,2.23,,,
5,,,,,,,,,,,,,2025,Metals incorporated agricultural waste corn Cob-based biochar used as an adsorbent for CO2 capturing
6,Lignin,BC-600-2,1169,0.91,0.23,1,298,65.819999999999993,22.66,0.17,3.07,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
,,Ni/BC-100-500,1299,0.87,0.31,1,298,66.39,14.54,0.26,3.91,,,
,,Ni/BC-200-500,1434,0.85,0.42,1,298,68.11,13.38,0.17,4.49,,,
,,Ni/BC-300-500,1407,0.84,0.4,1,298,67.64,12.39,0.16,4.18,,,
,,Ni/BC-400-500,1376,0.81,0.37,1,298,69.239999999999995,12.16,0.38,3.96,,,
,,Ni/BC-200-400,1232,0.72,0.38,1,298,67.59,14.69,0.26,3.73,,,
,,Ni/BC-200-600,1406,1.02,0.3,1,298,70.12,8.59,0.18,3.83,,,
,,Ni/BC-200-700,1350,1.1299999999999999,0.2,1,298,75.39,4.93,0.12,2.76,,,
,,Ni/Co/BC-400-500,1390,0.82,0.42,1,298,69.16,11.55,0.25,4.1500000000000004,,,
,,BC-600-2,1169,0.91,0.23,1,323,65.819999999999993,22.66,0.17,1.73,,,
,,Ni/BC-100-500,1299,0.87,0.31,1,323,66.39,14.54,0.26,2.34,,,
,,Ni/BC-200-500,1434,0.85,0.42,1,323,68.11,13.38,0.17,2.72,,,
,,Ni/BC-300-500,1407,0.84,0.4,1,323,67.64,12.39,0.16,2.57,,,
,,Ni/BC-400-500,1376,0.81,0.37,1,323,69.239999999999995,12.16,0.38,2.5,,,
,,Ni/BC-200-400,1232,0.72,0.38,1,323,67.59,14.69,0.26,2.38,,,
,,Ni/BC-200-600,1406,1.02,0.3,1,323,70.12,8.59,0.18,2.4700000000000002,,,
,,Ni/BC-200-700,1350,1.1299999999999999,0.2,1,323,75.39,4.93,0.12,1.82,,,
,,Ni/Co/BC-400-500,1390,0.82,0.42,1,323,69.16,11.55,0.25,2.41,,,
7,Spent coffee grounds,ACG Unwashed,2645,1.25,1.12,1,298,89,9.3,1.37,2.8,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture
,,ACG Water,2812,1.36,1.21,1,298,88.2,10.4,1.15,3,,,
,,ACG Ethanol,2672,1.27,1.16,1,298,88.8,9.1,1.7,3.45,,,
,,ACG Acetone,2577,1.18,1.08,1,298,88.80,8.98,1.95,3.8,,,
,,ACG Hexane,2737,1.3,1.2,1,298,90.1,8.0,1.76,3.6,,,
8,Jujube seeds,JAC,2140,0.96,0.83,1,273,,,,25.597999999999999,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
,,JAC/MCM-41,2040,0.86,0.57999999999999996,1,273,68.63,29.52,1.85,29.22,,,
,,CAC/MCM-41,720,0.52,0.11,1,273,71.989999999999995,26.09,1.92,14.420999999999999,,,
,,GR/MCM-41,309,0.44,0.12,1,273,37.229999999999997,53.49,9.27,3.673,,,
,,MWCNT/MCM-41,158,0.57999999999999996,0.06,1,273,37.14,50.84,12.01,0.98299999999999998,,,
,,JAC,2140,0.96,0.83,1,298,,,,14.898999999999999,,,
,,JAC/MCM-41,2040,0.86,0.57999999999999996,1,298,68.63,29.52,1.85,17.314,,,
,,CAC/MCM-41,720,0.52,0.11,1,298,71.989999999999995,26.09,1.92,9.8970000000000002,,,
,,GR/MCM-41,309,0.44,0.12,1,298,37.229999999999997,53.49,9.27,2.3580000000000001,,,
,,MWCNT/MCM-41,158,0.57999999999999996,0.06,1,298,37.14,50.84,12.01,0.60799999999999998,,,
,,JAC,2140,0.96,0.83,1,298,,,,8.9250000000000007,,,
,,JAC/MCM-41,2040,0.86,0.57999999999999996,1,298,68.63,29.52,1.85,10.462,,,
,,CAC/MCM-41,720,0.52,0.11,1,298,71.989999999999995,26.09,1.92,6.6070000000000002,,,
,,GR/MCM-41,309,0.44,0.12,1,298,37.229999999999997,53.49,9.27,1.5489999999999999,,,
,,MWCNT/MCM-41,158,0.57999999999999996,0.06,1,298,37.14,50.84,12.01,0.39500000000000002,,,
9,Pine,Pine,2330,1.39,0.85,2,298,50.2,43.5,0.1,11.954545454545455,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
,Cedar,Cedar,2155,1.27,1.07,2,298,50.2,43.1,0.3,11.818181818181818,,,
,Lignin,Lignin,2360,1.36,1.18,2,298,63.1,29.2,0.22,10.75,,,
,Peat,Peat,2640,1.9,1.46,2,298,64.8,26.9,1.82,12.068181818181818,,,
,Yallown,Yallown,2430,1.41,1.1200000000000001,2,298,64.900000000000006,29.1,0.63,11,,,
,Aduun chuluun,Aduun chuluun,2070,1.28,0.98,2,298,66.5,25.4,0.66,10.931818181818182,,,
,Tugrug nuur,Tugrug nuur,1860,0.87,0.76,2,298,67.7,24.6,1.06,9.295454545454545,,,
,Loy Yang,Loy Yang,2070,1.28,0.98,2,298,69.599999999999994,24.4,0.59,10.522727272727273,,,
,Shivee-ovoo,Shivee-ovoo,1810,0.98,0.85,2,298,69.599999999999994,23.3,0.78,9.1363636363636367,,,
,Line,Line,1840,1.49,1.1499999999999999,2,298,69.2,25.3,0.78,10.931818181818182,,,
,Baganuur,Baganuur,2020,1.01,0.86,2,298,70.099999999999994,23.4,0.96,10.681818181818182,,,
,Mullier,Mullier,2180,1.23,1.02,2,298,71.7,18.3,0.87,10.931818181818182,,,
,Pendopo,Pendopo,1880,1.2,0.95,2,298,72.400000000000006,21.8,0.91,9.9090909090909083,,,
,Adaro,Adaro,2490,1.1299999999999999,0.96,2,298,76,15,1,10.25,,,
,Tar,Tar,2210,1.28,0.97,2,298,80.8,11.3,0.99,10.272727272727273,,,
10,,,,,,,,,,,,https://doi.org/10.1016/j.surfin.2025.108296Get rights and content,2026,Optimizing pore structure and edge surface functionalization with oxygen-containing groups in nanoporous graphene for highly efficient CO2 capture
11,Nature wood,WA,2.3045,8.3999999999999995E-3,5.9999999999999995E-4,1,273,,,,,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation
,,CA,146.03579999999999,0.1079,8.2000000000000007E-3,1,273,97.79,1.91,0.3,1.58,,,
,,CAN,257.44889999999998,0.1203,9.64E-2,1,273,93.51,2.61,3.88,2.16,,,
,,KCAN,632.61490000000003,0.30669999999999997,0.156,1,273,86.64,10.35,3.01,3.31,,,
,,KCANT,522.96510000000001,0.2445,0.1045,1,273,84.84,7.67,7.49,4.14,,,
12,sludge,1,239,0.38400000000000001,0.13200000000000001,1,298,,,,1.4772727272727273,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
,,2,290,0.32,0.158,1,298,,,,1.5909090909090908,,,
,,3,301,0.48699999999999999,0.16300000000000001,1,298,,,,1.7954545454545454,,,
,,4,289,0.41,0.14399999999999999,1,298,,,,1.4545454545454546,,,
,,5,274,0.39400000000000002,0.13600000000000001,1,298,,,,1.5454545454545454,,,
,,6,256,0.39100000000000001,0.128,1,298,,,,1.5227272727272727,,,
,,7,250,0.36399999999999999,0.13600000000000001,1,298,,,,1.4318181818181819,,,
,,8,221,0.36199999999999999,0.11899999999999999,1,298,,,,1.3636363636363635,,,
,,9,193,0.34499999999999997,0.126,1,298,,,,1.4090909090909092,,,
,,SAC-KOH,127,0.32,0.114,1,298,,,,0.86363636363636365,,,
,,RC,177,0.40100000000000002,0.14000000000000001,1,298,,,,0.77272727272727271,,,
13,Deacetylation degree,,,,,,,,,,,https://doi.org/10.1016/j.fuel.2025.135884,2025,Enhanced CO2 adsorption on amine-impregnated fly ash modified by Chitosan: Performance and mechanistic insights
14,Bitumen coke,AC-600-3:0:9,1809,0.91,,1,273,,,,6,https://doi.org/10.1016/j.cej.2025.167466,2025,Pore structure optimization of activated bitumen coke using sodium thiosulfate for enhanced CO2 capture
,,AC-700-3:0:9,2265,1.1599999999999999,,1,273,,,,6.11,,,
,,AC-800-3:0:9,2639,1.39,,1,273,,,,5.0599999999999996,,,
,,AC-600-3:0.5:9,1566,0.79,,1,273,,,,6.07,,,
,,AC-700-3:0.5:9,2289,1.1399999999999999,,1,273,,,,6.70,,,
,,AC-800-3:0.5:9,2370,1.23,,1,273,,,,5.81,,,
,,AC-600-3:1:9,1479,0.75,,1,273,,,,5.86,,,
,,AC-700-3:1:9,1965,0.96,,1,273,,,,6.68,,,
,,AC-800-3:1:9,1716,0.86,,1,273,,,,5.94,,,
,,AC-600-3:2:9,1250,0.64,,1,273,,,,6.26,,,
,,AC-700-3:2:9,1501,0.76,,1,273,,,,6.74,,,
,,AC-800-3:2:9,1678,0.85,,1,273,,,,6.11,,,
15,PAN powders,PANC-P15,1012.93,0.39,0.32,1,273,81.19,11.26,5.47,4.09,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption
,,PANC-P20,948.22,0.41199999999999998,0.3,1,273,79.76,12.58,5.00,4.15,,,
,,PANC-P25,852.54,0.35499999999999998,0.28000000000000003,1,273,77.87,12.20,6.97,4.85,,,
,,PANC-K15,2607.0100000000002,1.0740000000000001,0.75,1,273,89.24,6.12,3.80,5.12,,,
,,PANC-K25,1613.62,0.6,0.54,1,273,87.59,5.99,6.09,6.76,,,
,,PANC-Zn,1073.45,0.38700000000000001,0.36,1,273,81.23,10.49,6.79,4.86,,,
