Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
3,Phenolic resin,PCF0.5-S1.25,674.9,0.47,0.21,1.0,273.0,,,,3.43,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,PCF0.5-S1.75,641.6,0.47,0.19,1.0,273.0,,,,3.99,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,PCF0.5-S1.75,641.6,0.47,0.19,1.0,298.0,,,,3.11,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,PCF0.5-S2.5,593.6,0.77,0.11,1.0,273.0,,,,2.67,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,APC (3 h),947.9,0.37,0.31,1.0,273.0,,,,4.16,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,APC (3 h),947.9,0.37,0.31,1.0,298.0,,,,3.24,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,APC-F0.5 (3 h),522.4,0.29,0.24,1.0,273.0,,,,4.13,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,APC-F0.5 (3 h),522.4,0.29,0.24,1.0,298.0,,,,3.12,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,APCF0.5-S1.75 (3 h),983.9,0.66,0.4,1.0,273.0,,,,4.93,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
3,Phenolic resin,APCF0.5-S1.75 (3 h),983.9,0.66,0.4,1.0,298.0,,,,3.29,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption
