Ref number,Carbon precursors,Sample name,DOI,Year,Title,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),O (%),N (%),Uptake (mmolg-1)
8,Jujube seeds,MWCNT/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",158.0,0.58,0.06,1.0,298.0,50.84,12.01,0.395
9,Pine,Pine,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2330.0,1.39,0.85,2.0,298.0,43.5,0.1,11.95454545
9,Cedar,Cedar,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2155.0,1.27,1.07,2.0,298.0,43.1,0.3,11.81818182
9,Lignin,Lignin,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2360.0,1.36,1.18,2.0,298.0,29.2,0.22,10.75
9,Peat,Peat,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2640.0,1.9,1.46,2.0,298.0,26.9,1.82,12.06818182
9,Yallown,Yallown,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2430.0,1.41,1.12,2.0,298.0,29.1,0.63,11.0
9,Aduun chuluun,Aduun chuluun,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2070.0,1.28,0.98,2.0,298.0,25.4,0.66,10.93181818
9,Tugrug nuur,Tugrug nuur,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1860.0,0.87,0.76,2.0,298.0,24.6,1.06,9.295454545
9,Loy Yang,Loy Yang,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2070.0,1.28,0.98,2.0,298.0,24.4,0.59,10.52272727
9,Shivee-ovoo,Shivee-ovoo,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1810.0,0.98,0.85,2.0,298.0,23.3,0.78,9.136363636
9,Line,Line,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1840.0,1.49,1.15,2.0,298.0,25.3,0.78,10.93181818
9,Baganuur,Baganuur,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2020.0,1.01,0.86,2.0,298.0,23.4,0.96,10.68181818
9,Mullier,Mullier,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2180.0,1.23,1.02,2.0,298.0,18.3,0.87,10.93181818
9,Pendopo,Pendopo,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1880.0,1.2,0.95,2.0,298.0,21.8,0.91,9.909090909
9,Adaro,Adaro,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2490.0,1.13,0.96,2.0,298.0,15.0,1.0,10.25
9,Tar,Tar,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2210.0,1.28,0.97,2.0,298.0,11.3,0.99,10.27272727
11,Nature wood,CA,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,146.0358,0.1079,0.0082,1.0,273.0,1.91,0.3,1.58
11,Nature wood,CAN,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,257.4489,0.1203,0.0964,1.0,273.0,2.61,3.88,2.16
11,Nature wood,KCAN,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,632.6149,0.3067,0.156,1.0,273.0,10.35,3.01,3.31
11,Nature wood,KCANT,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,522.9651,0.2445,0.1045,1.0,273.0,7.67,7.49,4.14
15,PAN powders,PANC-P15,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,1012.93,0.39,0.32,1.0,273.0,11.26,5.47,4.09
15,PAN powders,PANC-P20,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,948.22,0.412,0.3,1.0,273.0,12.58,5.0,4.15
15,PAN powders,PANC-P25,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,852.54,0.355,0.28,1.0,273.0,12.2,6.97,4.85
15,PAN powders,PANC-K15,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,2607.01,1.074,0.75,1.0,273.0,6.12,3.8,5.12
15,PAN powders,PANC-K25,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,1613.62,0.6,0.54,1.0,273.0,5.99,6.09,6.76
15,PAN powders,PANC-Zn,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,1073.45,0.387,0.36,1.0,273.0,10.49,6.79,4.86
16,Bamboo,BAC-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,746.0,0.36,0.3,1.0,273.0,44.6,0.28,3.31
16,Bamboo,HBAC-3-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,906.0,0.45,0.36,1.0,273.0,40.9,0.18,2.35
16,Bamboo,HBAC-6-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,1145.0,0.54,0.42,1.0,273.0,39.6,0.46,3.23
16,Bamboo,HBAC-9-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,1393.0,0.79,0.55,1.0,273.0,39.5,0.22,2.27
16,Bamboo,HBAC-12-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,874.0,0.41,0.34,1.0,273.0,39.2,0.27,3.36
19,Sodium lignosulfonate,MSLS1–0.2,https://doi.org/10.1016/j.jece.2025.115512,2025,Investigating the dual activation synergistic mechanism of KOH activation and sodium self-catalysis to uncover microporous mechanisms in CO2 adsorption,3362.0,2.7551,1.3435,1.0,298.0,7.53,1.09,2.3
26,Pear branches,HCK,https://doi.org/10.1016/j.seppur.2025.134678,2025,Biomass tar modified biochar with enhanced micropores and oxygen content for high efficiency CO2 capture,1466.1,0.95,0.748,1.0,273.0,15.53,1.95,2.587045455
29,Corn straw and rice husks,PS-S,https://doi.org/10.1002/cbh2.70017,2025,Fast Pyrolyzed Residue Assembled Into Carbon Spheres: Effect of Self-Template on the Structure Behavior and Improved Hierarchical Pore Structures,1101.1,0.677,0.422,1.0,303.0,44.79,1.07,1.63
29,Corn straw and rice husks,PW-S,https://doi.org/10.1002/cbh2.70017,2025,Fast Pyrolyzed Residue Assembled Into Carbon Spheres: Effect of Self-Template on the Structure Behavior and Improved Hierarchical Pore Structures,822.7,0.376,0.33,1.0,303.0,16.83,0.0,1.23
29,Corn straw and rice husks,PC-S,https://doi.org/10.1002/cbh2.70017,2025,Fast Pyrolyzed Residue Assembled Into Carbon Spheres: Effect of Self-Template on the Structure Behavior and Improved Hierarchical Pore Structures,870.3,0.728,0.325,1.0,303.0,11.83,0.0,1.73
29,Corn straw and rice husks,PB-S,https://doi.org/10.1002/cbh2.70017,2025,Fast Pyrolyzed Residue Assembled Into Carbon Spheres: Effect of Self-Template on the Structure Behavior and Improved Hierarchical Pore Structures,1160.6,0.745,0.448,1.0,273.0,11.17,0.0,5.25
31,Garlic,GAAC4,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,2208.7,1.16,0.61,1.0,273.0,8.79,0.86,3.38
31,Garlic,GAAC5,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3256.6,1.6,0.81,1.0,273.0,9.61,0.76,3.82
31,Garlic,GAAC6,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3449.2,1.67,1.14,1.0,273.0,7.36,0.52,5.25
31,Garlic,GAAC4,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,2208.7,1.16,0.61,5.0,273.0,8.79,0.86,9.56
31,Garlic,GAAC5,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3256.6,1.6,0.81,5.0,273.0,9.61,0.76,11.86
31,Garlic,GAAC6,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3449.2,1.67,1.14,5.0,273.0,7.36,0.52,15.09
31,Garlic,GAAC4,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,2208.7,1.16,0.61,10.0,273.0,8.79,0.86,13.79
31,Garlic,GAAC5,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3256.6,1.6,0.81,10.0,273.0,9.61,0.76,17.65
31,Garlic,GAAC6,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3449.2,1.67,1.14,10.0,273.0,7.36,0.52,21.69
31,Garlic,GAAC4,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,2208.7,1.16,0.61,30.0,273.0,8.79,0.86,22.1
31,Garlic,GAAC5,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3256.6,1.6,0.81,30.0,273.0,9.61,0.76,27.68
31,Garlic,GAAC6,https://doi.org/10.1016/j.carbon.2025.120409,2025,Functionalized nanoporous biocarbon derived from garlic waste for enhanced CO2 capture and supercapacitor performance,3449.2,1.67,1.14,30.0,273.0,7.36,0.52,30.62
33,Ningdong coal powder,CH-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,878.0,0.39,0.35,1.0,273.0,10.22,1.14,4.24
33,Ningdong coal powder,0-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1138.0,0.52,0.45,1.0,273.0,12.64,1.06,5.12
33,Ningdong coal powder,10-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1258.0,0.56,0.49,1.0,273.0,12.3,0.66,5.84
33,Ningdong coal powder,20-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1060.0,0.48,0.41,1.0,273.0,10.97,0.95,5.44
33,Ningdong coal powder,0-MW300,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1311.0,0.65,0.52,1.0,273.0,9.7,0.82,5.54
33,Ningdong coal powder,10-MW300,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1377.0,0.6,0.53,1.0,273.0,9.71,0.77,6.15
33,Ningdong coal powder,CH-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,878.0,0.39,0.35,1.0,298.0,10.22,1.14,3.02
33,Ningdong coal powder,0-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1138.0,0.52,0.45,1.0,298.0,12.64,1.06,3.52
33,Ningdong coal powder,10-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1258.0,0.56,0.49,1.0,298.0,12.3,0.66,4.21
33,Ningdong coal powder,20-MW200,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1060.0,0.48,0.41,1.0,298.0,10.97,0.95,3.82
33,Ningdong coal powder,0-MW300,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1311.0,0.65,0.52,1.0,298.0,9.7,0.82,3.8
33,Ningdong coal powder,10-MW300,https://doi.org/10.1016/j.cej.2026.173326,2026,Targeted preparation of ultramicroporous carbon via stepwise microwave activation for efficient CO2 capture,1377.0,0.6,0.53,1.0,298.0,9.71,0.77,4.14
35,Walnut shells,MC1,https://doi.org/10.1016/j.joei.2025.102363,2026,"Adjustable ultra-micro, micro-, and mesopores in lignin-based hierarchical porous carbon for CO2 adsorption",396.12,0.35,0.13,1.0,273.0,13.99,3.18,2.55
35,Walnut shells,MC1.5-K3,https://doi.org/10.1016/j.joei.2025.102363,2026,"Adjustable ultra-micro, micro-, and mesopores in lignin-based hierarchical porous carbon for CO2 adsorption",1033.42,0.47,0.4,1.0,273.0,20.64,1.92,4.72
35,Walnut shells,MIC-K3,https://doi.org/10.1016/j.joei.2025.102363,2026,"Adjustable ultra-micro, micro-, and mesopores in lignin-based hierarchical porous carbon for CO2 adsorption",521.19,0.22,0.2,1.0,273.0,21.09,1.72,4.43
35,Walnut shells,MC1,https://doi.org/10.1016/j.joei.2025.102363,2026,"Adjustable ultra-micro, micro-, and mesopores in lignin-based hierarchical porous carbon for CO2 adsorption",396.12,0.35,0.13,1.0,303.0,13.99,3.18,2.55
35,Walnut shells,MC1.5-K3,https://doi.org/10.1016/j.joei.2025.102363,2026,"Adjustable ultra-micro, micro-, and mesopores in lignin-based hierarchical porous carbon for CO2 adsorption",1033.42,0.47,0.4,1.0,303.0,20.64,1.92,4.72
35,Walnut shells,MIC-K3,https://doi.org/10.1016/j.joei.2025.102363,2026,"Adjustable ultra-micro, micro-, and mesopores in lignin-based hierarchical porous carbon for CO2 adsorption",521.19,0.22,0.2,1.0,303.0,21.09,1.72,4.43
39,Porous straw,CSBC,https://doi.org/10.1016/j.indcrop.2025.121000,2025,Straw-derived porous biochars by ball milling for CO2 capture: Adsorption performance and enhanced mechanisms,26.91,0.016,0.012,1.0,273.0,7.59,0.98,1.43
39,Porous straw,BM-CSBC,https://doi.org/10.1016/j.indcrop.2025.121000,2025,Straw-derived porous biochars by ball milling for CO2 capture: Adsorption performance and enhanced mechanisms,80.9,0.084,0.026,1.0,273.0,16.31,0.85,1.59
39,Porous straw,BSBC,https://doi.org/10.1016/j.indcrop.2025.121000,2025,Straw-derived porous biochars by ball milling for CO2 capture: Adsorption performance and enhanced mechanisms,1.72,0.004,0.002,1.0,273.0,10.47,0.69,1.48
39,Porous straw,BM-BSBC,https://doi.org/10.1016/j.indcrop.2025.121000,2025,Straw-derived porous biochars by ball milling for CO2 capture: Adsorption performance and enhanced mechanisms,4.8,0.023,0.001,1.0,273.0,10.47,0.69,1.7
39,Porous straw,COBC,https://doi.org/10.1016/j.indcrop.2025.121000,2025,Straw-derived porous biochars by ball milling for CO2 capture: Adsorption performance and enhanced mechanisms,5.03,0.016,0.001,1.0,273.0,9.73,1.18,1.43
39,Porous straw,BM-COBC,https://doi.org/10.1016/j.indcrop.2025.121000,2025,Straw-derived porous biochars by ball milling for CO2 capture: Adsorption performance and enhanced mechanisms,40.99,0.062,0.01,1.0,273.0,9.73,1.18,1.64
