Ref number,Carbon precursors,Sample name,DOI,Year,Title,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),O (%),N (%),Uptake (mmolg-1)
1,PANI,PANI@PAM-CA-1-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1272.81,0.55,0.46,1.0,273.0,13.27,5.57,6.04
1,PANI,PANI@PAM-CA-1-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1272.81,0.55,0.46,1.0,298.0,13.27,5.57,4.12
1,PANI,PANI@PAM-CB-2-550,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,59.42,0.07,0.02,1.0,273.0,14.61,7.27,6.02
1,PANI,PANI@PAM-CB-2-550,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,59.42,0.07,0.02,1.0,298.0,14.61,7.27,2.19
1,PANI,PANI@PAM-CB-2-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1255.57,0.57,0.45,1.0,298.0,13.09,4.53,3.98
1,PANI,PANI@PAM-CB-2-750,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1206.27,0.62,0.46,1.0,298.0,21.15,2.41,2.29
1,PANI,PANI@PAM-CB-2-850,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,271.65,0.29,0.11,1.0,298.0,36.42,0.61,0.89
6,Lignin,BC-600-2,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1169.0,0.91,0.23,1.0,298.0,22.66,0.17,3.07
6,Lignin,Ni/BC-100-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1299.0,0.87,0.31,1.0,298.0,14.54,0.26,3.91
6,Lignin,Ni/BC-200-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1434.0,0.85,0.42,1.0,298.0,13.38,0.17,4.49
6,Lignin,Ni/BC-300-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1407.0,0.84,0.4,1.0,298.0,12.39,0.16,4.18
6,Lignin,Ni/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1376.0,0.81,0.37,1.0,298.0,12.16,0.38,3.96
6,Lignin,Ni/BC-200-400,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1232.0,0.72,0.38,1.0,298.0,14.69,0.26,3.73
6,Lignin,Ni/BC-200-600,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1406.0,1.02,0.3,1.0,298.0,8.59,0.18,3.83
6,Lignin,Ni/BC-200-700,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1350.0,1.13,0.2,1.0,298.0,4.93,0.12,2.76
6,Lignin,Ni/Co/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1390.0,0.82,0.42,1.0,298.0,11.55,0.25,4.15
6,Lignin,BC-600-2,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1169.0,0.91,0.23,1.0,323.0,22.66,0.17,1.73
6,Lignin,Ni/BC-100-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1299.0,0.87,0.31,1.0,323.0,14.54,0.26,2.34
6,Lignin,Ni/BC-200-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1434.0,0.85,0.42,1.0,323.0,13.38,0.17,2.72
6,Lignin,Ni/BC-300-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1407.0,0.84,0.4,1.0,323.0,12.39,0.16,2.57
6,Lignin,Ni/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1376.0,0.81,0.37,1.0,323.0,12.16,0.38,2.5
6,Lignin,Ni/BC-200-400,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1232.0,0.72,0.38,1.0,323.0,14.69,0.26,2.38
6,Lignin,Ni/BC-200-600,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1406.0,1.02,0.3,1.0,323.0,8.59,0.18,2.47
6,Lignin,Ni/BC-200-700,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1350.0,1.13,0.2,1.0,323.0,4.93,0.12,1.82
6,Lignin,Ni/Co/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1390.0,0.82,0.42,1.0,323.0,11.55,0.25,2.41
7,Spent coffee grounds,ACG Unwashed,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2645.0,1.25,1.12,1.0,298.0,9.3,1.37,2.8
7,Spent coffee grounds,ACG Water,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2812.0,1.36,1.21,1.0,298.0,10.4,1.15,3.0
7,Spent coffee grounds,ACG Ethanol,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2672.0,1.27,1.16,1.0,298.0,9.1,1.7,3.45
7,Spent coffee grounds,ACG Acetone,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2577.0,1.18,1.08,1.0,298.0,8.98,1.95,3.8
7,Spent coffee grounds,ACG Hexane,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2737.0,1.3,1.2,1.0,298.0,8.0,1.76,3.6
8,Jujube seeds,JAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2040.0,0.86,0.58,1.0,273.0,29.52,1.85,29.22
8,Jujube seeds,CAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",720.0,0.52,0.11,1.0,273.0,26.09,1.92,14.421
8,Jujube seeds,GR/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",309.0,0.44,0.12,1.0,273.0,53.49,9.27,3.673
8,Jujube seeds,MWCNT/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",158.0,0.58,0.06,1.0,273.0,50.84,12.01,0.983
8,Jujube seeds,JAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2040.0,0.86,0.58,1.0,298.0,29.52,1.85,17.314
8,Jujube seeds,CAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",720.0,0.52,0.11,1.0,298.0,26.09,1.92,9.897
8,Jujube seeds,GR/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",309.0,0.44,0.12,1.0,298.0,53.49,9.27,2.358
8,Jujube seeds,MWCNT/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",158.0,0.58,0.06,1.0,298.0,50.84,12.01,0.608
8,Jujube seeds,JAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2040.0,0.86,0.58,1.0,298.0,29.52,1.85,10.462
8,Jujube seeds,CAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",720.0,0.52,0.11,1.0,298.0,26.09,1.92,6.607
8,Jujube seeds,GR/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",309.0,0.44,0.12,1.0,298.0,53.49,9.27,1.549
