Ref number,Carbon precursors,Sample name,DOI,Year,Title,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),Uptake (mmolg-1)
1,PANI,PANI@PAM,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,2.92,0.03,0.0019,1.0,298.0,0.01
1,PANI,PANI@PAM-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1.88,0.02,0.001,1.0,298.0,0.57
1,PANI,PANI@PAM-CA-1-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1272.81,0.55,0.46,1.0,273.0,6.04
1,PANI,PANI@PAM-CA-1-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1272.81,0.55,0.46,1.0,298.0,4.12
1,PANI,PANI@PAM-CB-2-550,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,59.42,0.07,0.02,1.0,273.0,6.02
1,PANI,PANI@PAM-CB-2-550,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,59.42,0.07,0.02,1.0,298.0,2.19
1,PANI,PANI@PAM-CB-2-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1255.57,0.57,0.45,1.0,298.0,3.98
1,PANI,PANI@PAM-CB-2-750,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1206.27,0.62,0.46,1.0,298.0,2.29
1,PANI,PANI@PAM-CB-2-850,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,271.65,0.29,0.11,1.0,298.0,0.89
2,Poplar wood chips,KK-0-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,10.0,0.02,0.003,1.0,303.0,1.86
2,Poplar wood chips,KK-1-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1116.0,0.73,0.356,1.0,303.0,3.49
2,Poplar wood chips,KK-2-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1434.0,0.9,0.456,1.0,303.0,3.76
2,Poplar wood chips,KK-3-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1499.0,0.94,0.49,1.0,303.0,4.03
2,Poplar wood chips,KK-3-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1499.0,0.94,0.49,1.0,298.0,4.38
2,Poplar wood chips,KK-3-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1499.0,0.94,0.49,1.0,273.0,6.26
2,Poplar wood chips,KK-4-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1331.0,0.84,0.432,1.0,303.0,3.81
3,Phenolic resin,PC,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,486.2,0.27,0.21,1.0,273.0,3.56
3,Phenolic resin,PC-F0.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,539.4,0.76,0.18,1.0,273.0,3.43
3,Phenolic resin,PC-F0.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,539.4,0.76,0.18,1.0,298.0,2.48
3,Phenolic resin,PCF0.5-S0.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,523.6,0.31,0.16,1.0,273.0,3.17
3,Phenolic resin,PCF0.5-S0.75,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,583.7,0.32,0.19,1.0,273.0,3.59
3,Phenolic resin,PCF0.5-S1.25,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,674.9,0.47,0.21,1.0,273.0,3.43
3,Phenolic resin,PCF0.5-S1.75,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,641.6,0.47,0.19,1.0,273.0,3.99
3,Phenolic resin,PCF0.5-S1.75,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,641.6,0.47,0.19,1.0,298.0,3.11
3,Phenolic resin,PCF0.5-S2.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,593.6,0.77,0.11,1.0,273.0,2.67
3,Phenolic resin,APC (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,947.9,0.37,0.31,1.0,273.0,4.16
3,Phenolic resin,APC (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,947.9,0.37,0.31,1.0,298.0,3.24
3,Phenolic resin,APC-F0.5 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,522.4,0.29,0.24,1.0,273.0,4.13
3,Phenolic resin,APC-F0.5 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,522.4,0.29,0.24,1.0,298.0,3.12
3,Phenolic resin,APCF0.5-S1.75 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,983.9,0.66,0.4,1.0,273.0,4.93
3,Phenolic resin,APCF0.5-S1.75 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,983.9,0.66,0.4,1.0,298.0,3.29
4,Orange peel,AC-2-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,374.0,0.162,0.127,1.0,298.0,1.72
4,Orange peel,PAC-2-5-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,398.0,0.207,0.127,1.0,298.0,1.97
4,Orange peel,PAC-2-15-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,487.0,0.215,0.16,1.0,298.0,2.49
4,Orange peel,PAC-2-15-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,487.0,0.215,0.16,1.0,273.0,4.18
4,Orange peel,PAC-2-25-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,413.0,0.173,0.141,1.0,298.0,2.23
6,Lignin,BC-600-2,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1169.0,0.91,0.23,1.0,298.0,3.07
6,Lignin,Ni/BC-100-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1299.0,0.87,0.31,1.0,298.0,3.91
6,Lignin,Ni/BC-200-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1434.0,0.85,0.42,1.0,298.0,4.49
6,Lignin,Ni/BC-300-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1407.0,0.84,0.4,1.0,298.0,4.18
6,Lignin,Ni/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1376.0,0.81,0.37,1.0,298.0,3.96
6,Lignin,Ni/BC-200-400,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1232.0,0.72,0.38,1.0,298.0,3.73
6,Lignin,Ni/BC-200-600,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1406.0,1.02,0.3,1.0,298.0,3.83
6,Lignin,Ni/BC-200-700,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1350.0,1.13,0.2,1.0,298.0,2.76
6,Lignin,Ni/Co/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1390.0,0.82,0.42,1.0,298.0,4.15
6,Lignin,BC-600-2,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1169.0,0.91,0.23,1.0,323.0,1.73
6,Lignin,Ni/BC-100-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1299.0,0.87,0.31,1.0,323.0,2.34
6,Lignin,Ni/BC-200-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1434.0,0.85,0.42,1.0,323.0,2.72
6,Lignin,Ni/BC-300-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1407.0,0.84,0.4,1.0,323.0,2.57
6,Lignin,Ni/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1376.0,0.81,0.37,1.0,323.0,2.5
6,Lignin,Ni/BC-200-400,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1232.0,0.72,0.38,1.0,323.0,2.38
6,Lignin,Ni/BC-200-600,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1406.0,1.02,0.3,1.0,323.0,2.47
6,Lignin,Ni/BC-200-700,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1350.0,1.13,0.2,1.0,323.0,1.82
6,Lignin,Ni/Co/BC-400-500,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture,1390.0,0.82,0.42,1.0,323.0,2.41
7,Spent coffee grounds,ACG Unwashed,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2645.0,1.25,1.12,1.0,298.0,2.8
7,Spent coffee grounds,ACG Water,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2812.0,1.36,1.21,1.0,298.0,3.0
7,Spent coffee grounds,ACG Ethanol,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2672.0,1.27,1.16,1.0,298.0,3.45
7,Spent coffee grounds,ACG Acetone,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2577.0,1.18,1.08,1.0,298.0,3.8
7,Spent coffee grounds,ACG Hexane,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture,2737.0,1.3,1.2,1.0,298.0,3.6
8,Jujube seeds,JAC,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2140.0,0.96,0.83,1.0,273.0,25.598
8,Jujube seeds,JAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2040.0,0.86,0.58,1.0,273.0,29.22
8,Jujube seeds,CAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",720.0,0.52,0.11,1.0,273.0,14.421
8,Jujube seeds,GR/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",309.0,0.44,0.12,1.0,273.0,3.673
8,Jujube seeds,MWCNT/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",158.0,0.58,0.06,1.0,273.0,0.983
8,Jujube seeds,JAC,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2140.0,0.96,0.83,1.0,298.0,14.899
8,Jujube seeds,JAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2040.0,0.86,0.58,1.0,298.0,17.314
8,Jujube seeds,CAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",720.0,0.52,0.11,1.0,298.0,9.897
8,Jujube seeds,GR/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",309.0,0.44,0.12,1.0,298.0,2.358
8,Jujube seeds,MWCNT/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",158.0,0.58,0.06,1.0,298.0,0.608
8,Jujube seeds,JAC,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2140.0,0.96,0.83,1.0,298.0,8.925
8,Jujube seeds,JAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",2040.0,0.86,0.58,1.0,298.0,10.462
8,Jujube seeds,CAC/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",720.0,0.52,0.11,1.0,298.0,6.607
8,Jujube seeds,GR/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",309.0,0.44,0.12,1.0,298.0,1.549
8,Jujube seeds,MWCNT/MCM-41,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption",158.0,0.58,0.06,1.0,298.0,0.395
9,Pine,Pine,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2330.0,1.39,0.85,2.0,298.0,11.95454545
9,Cedar,Cedar,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2155.0,1.27,1.07,2.0,298.0,11.81818182
9,Lignin,Lignin,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2360.0,1.36,1.18,2.0,298.0,10.75
9,Peat,Peat,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2640.0,1.9,1.46,2.0,298.0,12.06818182
9,Yallown,Yallown,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2430.0,1.41,1.12,2.0,298.0,11.0
9,Aduun chuluun,Aduun chuluun,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2070.0,1.28,0.98,2.0,298.0,10.93181818
9,Tugrug nuur,Tugrug nuur,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1860.0,0.87,0.76,2.0,298.0,9.295454545
9,Loy Yang,Loy Yang,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2070.0,1.28,0.98,2.0,298.0,10.52272727
9,Shivee-ovoo,Shivee-ovoo,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1810.0,0.98,0.85,2.0,298.0,9.136363636
9,Line,Line,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1840.0,1.49,1.15,2.0,298.0,10.93181818
9,Baganuur,Baganuur,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2020.0,1.01,0.86,2.0,298.0,10.68181818
9,Mullier,Mullier,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2180.0,1.23,1.02,2.0,298.0,10.93181818
9,Pendopo,Pendopo,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,1880.0,1.2,0.95,2.0,298.0,9.909090909
9,Adaro,Adaro,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2490.0,1.13,0.96,2.0,298.0,10.25
9,Tar,Tar,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials,2210.0,1.28,0.97,2.0,298.0,10.27272727
11,Nature wood,CA,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,146.0358,0.1079,0.0082,1.0,273.0,1.58
11,Nature wood,CAN,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,257.4489,0.1203,0.0964,1.0,273.0,2.16
11,Nature wood,KCAN,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,632.6149,0.3067,0.156,1.0,273.0,3.31
11,Nature wood,KCANT,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation,522.9651,0.2445,0.1045,1.0,273.0,4.14
12,sludge,1,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,239.0,0.384,0.132,1.0,298.0,1.477272727
12,sludge,2,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,290.0,0.32,0.158,1.0,298.0,1.590909091
12,sludge,3,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,301.0,0.487,0.163,1.0,298.0,1.795454545
12,sludge,4,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,289.0,0.41,0.144,1.0,298.0,1.454545455
12,sludge,5,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,274.0,0.394,0.136,1.0,298.0,1.545454545
12,sludge,6,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,256.0,0.391,0.128,1.0,298.0,1.522727273
12,sludge,7,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,250.0,0.364,0.136,1.0,298.0,1.431818182
12,sludge,8,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,221.0,0.362,0.119,1.0,298.0,1.363636364
12,sludge,9,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,193.0,0.345,0.126,1.0,298.0,1.409090909
12,sludge,SAC-KOH,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,127.0,0.32,0.114,1.0,298.0,0.863636364
12,sludge,RC,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics,177.0,0.401,0.14,1.0,298.0,0.772727273
15,PAN powders,PANC-P15,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,1012.93,0.39,0.32,1.0,273.0,4.09
15,PAN powders,PANC-P20,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,948.22,0.412,0.3,1.0,273.0,4.15
15,PAN powders,PANC-P25,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,852.54,0.355,0.28,1.0,273.0,4.85
15,PAN powders,PANC-K15,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,2607.01,1.074,0.75,1.0,273.0,5.12
15,PAN powders,PANC-K25,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,1613.62,0.6,0.54,1.0,273.0,6.76
15,PAN powders,PANC-Zn,https://doi.org/10.1016/j.apsusc.2025.164196,2025,Hierarchical coal/PAN blend carbon nanofibers through chemical activation for supercapacitor and CO2 adsorption,1073.45,0.387,0.36,1.0,273.0,4.86
16,Bamboo,AC-800,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,710.0,0.33,0.3,1.0,273.0,3.23
16,Bamboo,HBAC-3-800,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,880.0,0.39,0.34,1.0,273.0,3.66
16,Bamboo,HBAC-6-800,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,1025.0,0.46,0.41,1.0,273.0,3.91
16,Bamboo,HBAC-9-800,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,1084.0,0.53,0.43,1.0,273.0,3.8
16,Bamboo,HBAC-12-800,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,855.0,0.38,0.33,1.0,273.0,3.7
16,Bamboo,BAC-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,746.0,0.36,0.3,1.0,273.0,3.31
16,Bamboo,HBAC-3-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,906.0,0.45,0.36,1.0,273.0,2.35
16,Bamboo,HBAC-6-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,1145.0,0.54,0.42,1.0,273.0,3.23
16,Bamboo,HBAC-9-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,1393.0,0.79,0.55,1.0,273.0,2.27
16,Bamboo,HBAC-12-840,https://doi.org/10.1016/j.joei.2025.102341,2026,Hydrothermal pretreatment for controlling bamboo biomass composition and regulating pore structure of bamboo-based activated carbon for CO2 adsorption,874.0,0.41,0.34,1.0,273.0,3.36
19,Sodium lignosulfonate,CSLS1–4–900,https://doi.org/10.1016/j.jece.2025.115512,2025,Investigating the dual activation synergistic mechanism of KOH activation and sodium self-catalysis to uncover microporous mechanisms in CO2 adsorption,3197.0,2.6859,1.2811,1.0,298.0,2.16
